StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by a human, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment","This image was created by an artificial intelligence, please rate your enjoyment of the art. - Enjoyment"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}"
11/23/22 21:26,11/23/22 21:30,IP Address,76.11.167.229,100,250,TRUE,11/23/22 21:30,R_1g16p1nrVMjzLUf,,,,,39.3665,-86.0939,anonymous,EN,1,5,1,3,1,8,3,6,1,5,1,0,1,,6,1,7,1,4,7,2,10,6,1,1,10,8,8,7,4,1,3,1,1,8,1,5,8,6,,2
11/24/22 12:58,11/24/22 13:08,IP Address,98.214.90.217,100,595,TRUE,11/24/22 13:08,R_2eQeLvuV0pfNoXI,,,,,39.5992,-86.13,anonymous,EN,1,5,3,9,7,9,9,7,9,7,9,8,7,5,8,9,10,9,9,10,6,8,8,9,8,9,8,8,9,10,8,7,9,9,9,7,10,10,6,6,5
11/24/22 13:09,11/24/22 13:16,IP Address,98.214.90.217,100,412,TRUE,11/24/22 13:16,R_3nquFMz4Aq3eJq6,,,,,39.5992,-86.13,anonymous,EN,1,5,5,8,8,7,8,9,5,7,5,8,7,0,4,8,4,4,1,4,8,6,9,8,3,6,7,6,9,7,8,6,8,8,7,3,4,9,7,2,2
11/24/22 13:16,11/24/22 13:26,IP Address,98.214.90.217,100,609,TRUE,11/24/22 13:26,R_0wgcJcNGNwlYq9X,,,,,39.5992,-86.13,anonymous,EN,1,6,4,8,2,4,6,6,4,3,2,2,2,0,3,2,3,3,7,7,4,3,3,3,6,6,8,9,8,3,7,4,3,3,3,3,6,8,6,4,4
11/24/22 16:41,11/24/22 17:11,IP Address,166.196.110.134,100,1793,TRUE,11/24/22 17:11,R_1Fh3g4qgsP1rjVN,,,,,38.5774,-90.6709,anonymous,EN,1,5,0,10,4,6,10,10,3,10,6,0,0,0,0,5,9,6,0,6,5,6,8,0,0,7,8,6,6,2,3,3,0,3,5,0,0,8,0,2,2
11/27/22 10:37,11/27/22 10:41,IP Address,73.103.161.38,100,266,TRUE,11/27/22 10:41,R_1plmGBHWdYI487y,,,,,39.1397,-86.5141,anonymous,EN,1,1,3,6,0,7,5,0,2,0,7,8,1,0,7,5,8,10,0,7,5,5,7,6,8,5,4,0,0,10,1,4,0,5,0,6,3,6,7,0,2
11/27/22 10:46,11/27/22 10:51,IP Address,149.166.246.234,100,306,TRUE,11/27/22 10:51,R_1QAfsfUSF2YaPUS,,,,,39.8655,-86.122,anonymous,EN,1,7,0,10,7,10,8,7,6,10,6,10,8,10,8,9,10,5,5,6,4,10,10,6,10,6,10,10,10,5,10,5,5,5,8,8,6,10,7,5,8
11/27/22 10:49,11/27/22 10:54,IP Address,172.58.162.192,100,312,TRUE,11/27/22 10:54,R_26hy9eUX9v9i9G3,,,,,41.779,-87.7789,anonymous,EN,1,1,2,2,1,4,3,4,4,5,7,6,6,6,2,5,8,8,1,6,1,4,7,8,6,6,4,6,9,7,1,5,8,5,8,7,5,8,3,5,9
