Subject,Artist,Attributed,Enjoyment
1,Computer,Computer,3.888888889
1,Human,Human,5.6
1,Computer,Human,3.4
1,Human,Computer,3.222222222
2,Computer,Computer,7.8
2,Human,Human,8.5
2,Computer,Human,7.4
2,Human,Computer,8.1
3,Computer,Computer,5.6
3,Human,Human,6.9
3,Computer,Human,6.7
3,Human,Computer,4.8
4,Computer,Computer,4.4
4,Human,Human,5.6
4,Computer,Human,4.5
4,Human,Computer,3.3
5,Computer,Computer,2.3
5,Human,Human,4.6
5,Computer,Human,6.4
5,Human,Computer,3.1
6,Computer,Computer,3.3
6,Human,Human,4.6
6,Computer,Human,3.1
6,Human,Computer,5.1
7,Computer,Computer,6.7
7,Human,Human,8.7
7,Computer,Human,7.1
7,Human,Computer,7.5
8,Computer,Computer,6.3
8,Human,Human,5.8
8,Computer,Human,3.3
8,Human,Computer,4.9
9,Computer,Computer,6.3
9,Human,Human,7
9,Computer,Human,5.9
9,Human,Computer,6.9
10,Computer,Computer,8
10,Human,Human,10
10,Computer,Human,7
10,Human,Computer,7.2
11,Computer,Computer,4.6
11,Human,Human,7.8
11,Computer,Human,7.2
11,Human,Computer,7.3
12,Computer,Computer,4.3
12,Human,Human,7.2
12,Computer,Human,5.3
12,Human,Computer,5.4
13,Computer,Computer,4.4
13,Human,Human,4.6
13,Computer,Human,3.4
13,Human,Computer,4.6
14,Computer,Computer,6.2
14,Human,Human,6.4
14,Computer,Human,5.9
14,Human,Computer,7.3
15,Computer,Computer,5.1
15,Human,Human,6.6
15,Computer,Human,6.2
15,Human,Computer,7.4
16,Computer,Computer,6.2
16,Human,Human,4.4
16,Computer,Human,4.8
16,Human,Computer,7.1
17,Computer,Computer,4.9
17,Human,Human,6.3
17,Computer,Human,5.9
17,Human,Computer,5.1
18,Computer,Computer,6.3
18,Human,Human,7.3
18,Computer,Human,7.4
18,Human,Computer,7.2
19,Computer,Computer,4.2
19,Human,Human,5.1
19,Computer,Human,6.9
19,Human,Computer,6.5
20,Computer,Computer,4.9
20,Human,Human,5.2
20,Computer,Human,5.2
20,Human,Computer,7.2
21,Computer,Computer,7.9
21,Human,Human,6.9
21,Computer,Human,5.2
21,Human,Computer,7.1
22,Computer,Computer,4.7
22,Human,Human,5.3
22,Computer,Human,5.1
22,Human,Computer,5.9
23,Computer,Computer,3
23,Human,Human,5.6
23,Computer,Human,5.2
23,Human,Computer,7.3
24,Computer,Computer,5.2
24,Human,Human,5.8
24,Computer,Human,4.5
24,Human,Computer,5.6
25,Computer,Computer,6.3
25,Human,Human,6.5
25,Computer,Human,6.3
25,Human,Computer,6.7
26,Computer,Computer,4.7
26,Human,Human,6.1
26,Computer,Human,5.6
26,Human,Computer,5.6
27,Computer,Computer,5.7
27,Human,Human,4.4
27,Computer,Human,6.1
27,Human,Computer,6.4
28,Computer,Computer,5.7
28,Human,Human,6.6
28,Computer,Human,6
28,Human,Computer,7.1
29,Computer,Computer,3.2
29,Human,Human,6.1
29,Computer,Human,6.1
29,Human,Computer,3.8
30,Computer,Computer,6.2
30,Human,Human,5.4
30,Computer,Human,4.5
30,Human,Computer,7
31,Computer,Computer,3.3
31,Human,Human,2.6
31,Computer,Human,4.7
31,Human,Computer,5
32,Computer,Computer,5.8
32,Human,Human,5.5
32,Computer,Human,4
32,Human,Computer,6.1
33,Computer,Computer,3.3
33,Human,Human,4.3
33,Computer,Human,4.5
33,Human,Computer,3.2
34,Computer,Computer,1.6
34,Human,Human,2.6
34,Computer,Human,3.2
34,Human,Computer,2.9
35,Computer,Computer,5.5
35,Human,Human,8
35,Computer,Human,6.7
35,Human,Computer,4.8
36,Computer,Computer,6.2
36,Human,Human,6
36,Computer,Human,6.2
36,Human,Computer,5.6
37,Computer,Computer,3.8
37,Human,Human,5
37,Computer,Human,4.3
37,Human,Computer,5.7
38,Computer,Computer,5.1
38,Human,Human,4.9
38,Computer,Human,4.9
38,Human,Computer,5.5
39,Computer,Computer,6.1
39,Human,Human,6.9
39,Computer,Human,5.7
39,Human,Computer,6.3
40,Computer,Computer,4.5
40,Human,Human,6.1
40,Computer,Human,6.1
40,Human,Computer,4
41,Computer,Computer,9.7
41,Human,Human,9.7
41,Computer,Human,9.5
41,Human,Computer,9.1
42,Computer,Computer,3.1
42,Human,Human,3.2
42,Computer,Human,3.2
42,Human,Computer,2.3
43,Computer,Computer,2.9
43,Human,Human,5
43,Computer,Human,5.9
43,Human,Computer,4.7
44,Computer,Computer,5.6
44,Human,Human,6.6
44,Computer,Human,6.3
44,Human,Computer,5.8
45,Computer,Computer,5.2
45,Human,Human,5.3
45,Computer,Human,4.2
45,Human,Computer,5.4
46,Computer,Computer,7
46,Human,Human,6.7
46,Computer,Human,7.3
46,Human,Computer,7.8
47,Computer,Computer,6.2
47,Human,Human,7.3
47,Computer,Human,6.9
47,Human,Computer,8.2
48,Computer,Computer,4.4
48,Human,Human,4.9
48,Computer,Human,4.8
48,Human,Computer,5
49,Computer,Computer,4.8
49,Human,Human,6.3
49,Computer,Human,6.5
49,Human,Computer,6.4
50,Computer,Computer,4.1
50,Human,Human,5.8
50,Computer,Human,3.7
50,Human,Computer,5.9
51,Computer,Computer,4.2
51,Human,Human,5.6
51,Computer,Human,3.1
51,Human,Computer,4.4
52,Computer,Computer,5.2
52,Human,Human,6.8
52,Computer,Human,7.8
52,Human,Computer,7.4
53,Computer,Computer,5.7
53,Human,Human,4.5
53,Computer,Human,3.6
53,Human,Computer,6.4
54,Computer,Computer,7.7
54,Human,Human,8
54,Computer,Human,6.9
54,Human,Computer,7.9
55,Computer,Computer,3.9
55,Human,Human,5.6
55,Computer,Human,7.1
55,Human,Computer,5.8
56,Computer,Computer,5.9
56,Human,Human,6.3
56,Computer,Human,6.2
56,Human,Computer,7
57,Computer,Computer,4.4
57,Human,Human,5.6
57,Computer,Human,5.4
57,Human,Computer,6.2
58,Computer,Computer,5.2
58,Human,Human,6.9
58,Computer,Human,5.2
58,Human,Computer,7.5
59,Computer,Computer,6.6
59,Human,Human,7.7
59,Computer,Human,6
59,Human,Computer,7
60,Computer,Computer,3.8
60,Human,Human,8
60,Computer,Human,5.9
60,Human,Computer,6.4
61,Computer,Computer,9
61,Human,Human,9.5
61,Computer,Human,7.8
61,Human,Computer,8.7
62,Computer,Computer,2.6
62,Human,Human,6.7
62,Computer,Human,4
62,Human,Computer,5.1
63,Computer,Computer,4.4
63,Human,Human,6.8
63,Computer,Human,5
63,Human,Computer,5.7
64,Computer,Computer,6
64,Human,Human,6.7
64,Computer,Human,5.3
64,Human,Computer,8
65,Computer,Computer,2.9
65,Human,Human,3.8
65,Computer,Human,4.3
65,Human,Computer,3.3
66,Computer,Computer,5.1
66,Human,Human,6.3
66,Computer,Human,4.9
66,Human,Computer,3.5
67,Computer,Computer,6.8
67,Human,Human,5.6
67,Computer,Human,6.4
67,Human,Computer,6.3
68,Computer,Computer,7.1
68,Human,Human,8.8
68,Computer,Human,7.1
68,Human,Computer,6.6
69,Computer,Computer,6.9
69,Human,Human,6.9
69,Computer,Human,3.8
69,Human,Computer,7.3
70,Computer,Computer,5.4
70,Human,Human,8
70,Computer,Human,7.5
70,Human,Computer,7.3
71,Computer,Computer,5.5
71,Human,Human,7.8
71,Computer,Human,7.2
71,Human,Computer,6.1
72,Computer,Computer,6.5
72,Human,Human,7.8
72,Computer,Human,8.1
72,Human,Computer,6.4
73,Computer,Computer,4.6
73,Human,Human,3.5
73,Computer,Human,4.1
73,Human,Computer,3.5
74,Computer,Computer,5.9
74,Human,Human,4.9
74,Computer,Human,4.3
74,Human,Computer,6.1
75,Computer,Computer,5.1
75,Human,Human,3.9
75,Computer,Human,5.1
75,Human,Computer,4.8
76,Computer,Computer,5.1
76,Human,Human,4.7
76,Computer,Human,5
