Height,Weight,Age,Sex,Nationality
59,85.98018,18,female,!Kung
56.5,68.563682,18,female,!Kung
58.7,92.814502,18,female,!Kung
62,108.467304,18,female,!Kung
60.5,98.766976,18,female,!Kung
62,98.546514,18,male,!Kung
58.2,76.941238,19,female,!Kung
58,78.26401,19,female,!Kung
58.2,110.010538,19,female,!Kung
62,111.994696,19,female,!Kung
56.5,91.712192,19,female,!Kung
55.7,69.44553,19,male,!Kung
62,89.507572,19,male,!Kung
64,109.349152,19,male,!Kung
63.5,106.262684,19,male,!Kung
59,105.160374,20,female,!Kung
62.5,112.215158,20,female,!Kung
57.8,80.689092,20,female,!Kung
57.8,93.475888,20,male,!Kung
61,84.216484,20,male,!Kung
63.5,95.460046,20,male,!Kung
61.5,97.223742,21,female,!Kung
57.5,98.766976,21,female,!Kung
60,95.680508,21,female,!Kung
61.2,100.31021,21,female,!Kung
61.5,119.269942,21,female,!Kung
66.2,123.45872,21,male,!Kung
63.5,108.908228,21,male,!Kung
59.8,96.341894,21,male,!Kung
64.5,103.176216,21,male,!Kung
59.7,76.720776,21.5,female,!Kung
61,104.058064,22,female,!Kung
58,81.350478,22,female,!Kung
59.1,92.59404,22,female,!Kung
55.9,72.311536,22,female,!Kung
55.2,82.452788,22,female,!Kung
59,83.77556,22,female,!Kung
64.2,117.065322,22,male,!Kung
68,136.245516,22,male,!Kung
57.2,100.530672,23,female,!Kung
57.5,94.357736,23,female,!Kung
54.5,86.200642,23,female,!Kung
57.5,75.398004,23,female,!Kung
60.5,78.26401,23,female,!Kung
70.5,122.797334,23,male,!Kung
63,108.687766,23,male,!Kung
57.5,82.67325,24,female,!Kung
62.4,104.278526,24,female,!Kung
55.7,97.664666,24,female,!Kung
61.2,113.53793,24,female,!Kung
61.5,102.294368,24,female,!Kung
63.2,105.601298,24,male,!Kung
64.1,108.908228,24,male,!Kung
63,131.395352,24,male,!Kung
63.2,106.92407,24,male,!Kung
63.5,92.373578,24,male,!Kung
62,99.428362,24.2,female,!Kung
60.7,104.939912,25,female,!Kung
60.7,91.050806,25,female,!Kung
58,108.02638,25,female,!Kung
63,112.876544,25,male,!Kung
63,106.262684,25,male,!Kung
65.3,124.340568,25,male,!Kung
61.2,92.814502,26,female,!Kung
58.7,91.050806,26,female,!Kung
61,106.042222,26,female,!Kung
61,106.262684,26,female,!Kung
60.5,97.444204,26,female,!Kung
63.2,119.269942,26,male,!Kung
61,109.569614,26,male,!Kung
59.5,97.00328,26,male,!Kung
61.5,86.641566,26,male,!Kung
61,93.034964,26,male,!Kung
56.2,85.539256,27,female,!Kung
56.7,82.011864,27,female,!Kung
58.7,93.034964,27,female,!Kung
60,90.168958,27,female,!Kung
59.2,95.90097,27,female,!Kung
60.5,91.050806,27,female,!Kung
64,103.61714,27,female,!Kung
66.5,122.35641,27,male,!Kung
65.3,107.144532,27,male,!Kung
63,119.490404,27,male,!Kung
63,120.372252,28,female,!Kung
61,99.648824,28,male,!Kung
67.2,128.97027,28,male,!Kung
62.7,104.058064,28,male,!Kung
62.5,107.364994,28,male,!Kung
62.2,107.144532,28,male,!Kung
61.5,94.137274,29,female,!Kung
60,90.609882,29,female,!Kung
57.2,92.814502,29,female,!Kung
61.5,97.664666,29,female,!Kung
57,83.77556,29,female,!Kung
60,95.019122,29,female,!Kung
59,94.79866,29,female,!Kung
58.2,88.846186,29,male,!Kung
63.4,95.239584,29,male,!Kung
63.2,121.033638,29,male,!Kung
63.7,91.932654,29,male,!Kung
62.7,108.02638,29,male,!Kung
58.2,86.862028,30,female,!Kung
64,125.222416,30,female,!Kung
55.7,79.807244,30,female,!Kung
61.5,96.782818,30,female,!Kung
59.8,110.231,30,female,!Kung
63.7,121.474562,30,male,!Kung
59.7,108.908228,30,male,!Kung
65.7,104.058064,30,male,!Kung
65.2,106.483146,30,male,!Kung
61,106.92407,30,male,!Kung
56.7,84.657408,31,female,!Kung
61,101.853444,31,female,!Kung
56.2,75.398004,31,female,!Kung
63.5,115.081164,31,male,!Kung
61.7,104.939912,31,male,!Kung
63.4,106.703608,31,male,!Kung
61,100.089748,31,male,!Kung
63.3,102.073906,31,male,!Kung
64,115.081164,31,male,!Kung
58.7,84.216484,32,female,!Kung
56.2,78.484472,32,female,!Kung
62.7,107.585456,32,male,!Kung
65.2,105.160374,32,male,!Kung
65.7,116.624398,32,male,!Kung
60.1,102.735292,33,female,!Kung
61,87.964338,33,female,!Kung
58.5,96.782818,33,female,!Kung
60.2,87.08249,33,female,!Kung
61.5,97.00328,33,female,!Kung
67.2,131.836276,33,male,!Kung
62,98.326052,33,male,!Kung
60,96.782818,33,male,!Kung
58.7,96.782818,33,male,!Kung
60,113.097006,34,female,!Kung
60.7,105.601298,34,female,!Kung
56.7,86.862028,34,female,!Kung
56.7,74.736618,34,female,!Kung
67,118.167632,34,male,!Kung
57.5,84.87787,35,female,!Kung
59,93.475888,35,female,!Kung
58.7,115.301626,35,female,!Kung
58.5,93.69635,35,female,!Kung
59.5,101.632982,35,female,!Kung
64.5,138.89106,35,male,!Kung
64.5,123.238258,35,male,!Kung
64,101.41252,35,male,!Kung
62.2,86.421104,35,male,!Kung
64.5,104.71945,35,male,!Kung
63.5,105.601298,35,male,!Kung
58.2,104.498988,36,female,!Kung
58,77.382162,36,female,!Kung
56,69.886454,36,female,!Kung
58.5,82.893712,36,female,!Kung
64.2,107.144532,36,male,!Kung
63.7,113.758392,36,male,!Kung
61.2,119.710866,37,female,!Kung
58.2,90.830344,37,female,!Kung
57.2,99.2079,37,female,!Kung
67.4,124.781492,37,male,!Kung
57.5,86.862028,37.4,female,!Kung
60,98.546514,38,female,!Kung
60,99.648824,38,female,!Kung
58.2,88.405262,38,female,!Kung
58,113.097006,38,female,!Kung
60.5,106.483146,38,male,!Kung
63.7,110.892386,38,male,!Kung
65.7,125.883802,38,male,!Kung
63,114.64024,38,male,!Kung
66.5,124.340568,38,male,!Kung
68.1,113.097006,38,male,!Kung
55,110.892386,38,male,!Kung
63.7,125.66334,38.7,male,!Kung
56.2,82.232326,39,female,!Kung
56.5,84.657408,39,female,!Kung
58.4,84.657408,39,female,!Kung
63.5,108.02638,39,male,!Kung
64.2,112.43562,39,male,!Kung
56.2,72.75246,40,female,!Kung
59,116.183474,40,female,!Kung
58,79.145858,40,female,!Kung
54.6,120.3,na,female,American
55.3,166.5,na,female,American
57,215.5,na,female,American
57.5,96.5,na,female,American
57.5,125.9,na,female,American
57.6,123.5,na,female,American
58.9,110.6,na,female,American
59.4,217.1,na,female,American
59.6,102.8,na,female,American
59.6,110.9,na,female,American
59.7,105,na,female,American
59.7,123.6,na,female,American
59.8,156.5,na,female,American
59.8,150.2,na,female,American
59.8,115.7,na,female,American
59.9,149.6,na,female,American
60.1,123,na,female,American
60.4,93.2,na,female,American
60.6,100.1,na,female,American
60.6,146.4,na,female,American
60.7,190.8,na,female,American
60.8,132,na,female,American
60.8,140.4,na,male,American
60.9,134.3,na,female,American
61,159.8,na,female,American
61.1,116.9,na,female,American
61.4,119.1,na,female,American
61.4,125,na,female,American
61.4,114.6,na,female,American
61.5,131.5,na,female,American
61.5,108.7,na,female,American
61.6,139.4,na,female,American
61.7,187.4,na,female,American
61.8,151.7,na,female,American
61.9,125.4,na,female,American
61.9,89,na,female,American
62,149.9,na,female,American
62,164.9,na,female,American
62.1,114.4,na,female,American
62.1,96.5,na,female,American
62.3,215.1,na,female,American
62.4,119.2,na,female,American
62.4,185.3,na,female,American
62.5,118.9,na,female,American
62.5,119.8,na,female,American
62.8,146.9,na,female,American
62.8,156.9,na,female,American
62.8,140.5,na,male,American
62.8,133.6,na,female,American
62.9,119,na,female,American
62.9,176.6,na,female,American
63,280.5,na,female,American
63,130.3,na,female,American
63.1,125.8,na,female,American
63.1,148.7,na,female,American
63.2,139.8,na,female,American
63.2,163.2,na,female,American
63.3,161.2,na,female,American
63.4,147.8,na,female,American
63.4,140.7,na,female,American
63.4,193.7,na,female,American
63.5,174.9,na,female,American
63.5,194.1,na,male,American
63.6,161.5,na,female,American
63.6,130.6,na,female,American
63.6,160.7,na,female,American
63.6,169.7,na,female,American
63.7,143.7,na,female,American
63.8,166.5,na,female,American
63.9,158,na,female,American
63.9,141.9,na,female,American
64,136.4,na,female,American
64,143.9,na,female,American
64,158.7,na,male,American
64.1,110.2,na,female,American
64.1,134.1,na,female,American
64.1,183.5,na,female,American
64.1,135.6,na,female,American
64.1,126,na,female,American
64.2,117.3,na,female,American
64.3,117.6,na,female,American
64.3,128.3,na,female,American
64.3,123.4,na,female,American
64.3,167.6,na,female,American
64.4,117.8,na,female,American
64.4,160.1,na,female,American
64.5,184.4,na,female,American
64.5,111,na,female,American
64.5,222,na,female,American
64.5,137.6,na,female,American
64.5,157,na,female,American
64.5,134.7,na,female,American
64.6,143.4,na,male,American
64.6,128.4,na,male,American
64.6,182,na,female,American
64.7,142.8,na,female,American
64.7,144.7,na,female,American
64.7,131.1,na,female,American
64.7,108.6,na,female,American
64.7,145,na,female,American
64.8,123.3,na,female,American
64.8,136.6,na,female,American
64.8,133.5,na,female,American
64.8,137.1,na,female,American
64.8,123.1,na,female,American
64.9,111.1,na,female,American
64.9,130.5,na,female,American
65,125.3,na,female,American
65.1,144.5,na,female,American
65.1,124,na,female,American
65.1,126.7,na,male,American
65.2,96.2,na,female,American
65.2,139.3,na,female,American
65.2,356.8,na,female,American
65.2,146.2,na,female,American
65.3,221.2,na,female,American
65.3,202.1,na,female,American
65.4,177.4,na,male,American
65.4,173.8,na,male,American
65.4,146.6,na,male,American
65.4,141.5,na,female,American
65.5,155.7,na,male,American
65.6,178.3,na,female,American
65.6,116.9,na,female,American
65.6,146.5,na,male,American
65.7,147.9,na,female,American
65.7,133.5,na,female,American
65.7,135.2,na,male,American
65.9,129.5,na,female,American
65.9,122.1,na,female,American
65.9,152.7,na,female,American
65.9,134.1,na,male,American
65.9,191.3,na,male,American
65.9,135.7,na,female,American
66,120.7,na,female,American
66,168.4,na,male,American
66,167.9,na,female,American
66,173.8,na,male,American
