subject condition group cat trial_type trial block resp corr_resp hit RT fileinfo schedule cat_diff studied
1 IB passive 2 training 0 0 zade zade 1 2633 Fc1_1222.png interleaved NA NA 
1 IB passive 2 training 1 0 zade zade 1 2804 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 2 0 kipe kipe 1 1045 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 3 0 kipe kipe 1 1435 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 4 0 kipe kipe 1 1362 Fc1_1322.png interleaved same_cat NA 
1 IB passive 2 training 5 0 beme beme 1 832 Fc1_1112.png interleaved diff_cat NA 
1 IB passive 2 training 6 0 zade zade 1 912 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 7 0 zade zade 1 1604 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 8 0 beme beme 1 812 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 9 0 kipe kipe 1 834 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 10 0 zade zade 1 905 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 11 0 kipe kipe 1 1390 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 12 0 beme beme 1 823 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 13 0 kipe kipe 1 1431 Fc1_1312.png interleaved diff_cat NA 
1 IB passive 2 training 14 0 kipe kipe 1 794 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 15 0 beme beme 1 1555 Fc1_1122.png interleaved diff_cat NA 
1 IB passive 2 training 16 0 beme beme 1 934 Fc1_1111.png interleaved same_cat NA 
1 IB passive 2 training 17 0 kipe beme 0 1151 Fc1_1122.png interleaved same_cat NA 
1 IB passive 2 training 18 0 zade zade 1 1269 Fc1_1222.png interleaved diff_cat NA 
1 IB passive 2 training 19 0 kipe kipe 1 884 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 20 0 zade zade 1 1312 Fc1_1221.png interleaved diff_cat NA 
1 IB passive 2 training 21 0 beme beme 1 1152 Fc1_1121.png interleaved diff_cat NA 
1 IB passive 2 training 22 0 kipe kipe 1 1350 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 23 0 zade zade 1 1300 Fc1_1213.png interleaved diff_cat NA 
1 IB passive 2 training 24 1 zade zade 1 1213 Fc1_1222.png interleaved NA NA 
1 IB passive 2 training 25 1 zade zade 1 1406 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 26 1 kipe kipe 1 843 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 27 1 kipe kipe 1 1465 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 28 1 kipe kipe 1 1311 Fc1_1322.png interleaved same_cat NA 
1 IB passive 2 training 29 1 beme beme 1 1163 Fc1_1112.png interleaved diff_cat NA 
1 IB passive 2 training 30 1 zade zade 1 1130 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 31 1 zade zade 1 1812 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 32 1 beme beme 1 1039 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 33 1 kipe kipe 1 1443 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 34 1 zade zade 1 1151 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 35 1 kipe kipe 1 2192 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 36 1 beme beme 1 1304 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 37 1 kipe kipe 1 784 Fc1_1312.png interleaved diff_cat NA 
1 IB passive 2 training 38 1 kipe kipe 1 1180 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 39 1 beme beme 1 1219 Fc1_1122.png interleaved diff_cat NA 
1 IB passive 2 training 40 1 beme beme 1 1419 Fc1_1111.png interleaved same_cat NA 
1 IB passive 2 training 41 1 beme beme 1 2534 Fc1_1122.png interleaved same_cat NA 
1 IB passive 2 training 42 1 zade zade 1 1395 Fc1_1222.png interleaved diff_cat NA 
1 IB passive 2 training 43 1 kipe kipe 1 1492 Fc1_1321.png interleaved diff_cat NA 
