recall	study	test	subject
7	kitchen	kitchen	janice
8	kitchen	kitchen	john
9	kitchen	kitchen	david
7	kitchen	kitchen	clarice
8	kitchen	kitchen	ben
9	kitchen	kitchen	carol
5	kitchen	bedroom	janice
6	kitchen	bedroom	john
7	kitchen	bedroom	david
5	kitchen	bedroom	clarice
6	kitchen	bedroom	ben
7	kitchen	bedroom	carol
4	bedroom	kitchen	janice
5	bedroom	kitchen	john
6	bedroom	kitchen	david
4	bedroom	kitchen	clarice
5	bedroom	kitchen	ben
6	bedroom	kitchen	carol
6	bedroom	bedroom	janice
7	bedroom	bedroom	john
8	bedroom	bedroom	david
6	bedroom	bedroom	clarice
7	bedroom	bedroom	ben
7	bedroom	bedroom	carol
