block,answer,word,trial_type,trial_index,subject_id,correctness,resptime,stim_type,duration,year
NULL,NULL,NULL,text,0,nlepstei,NULL,NULL,NULL,NULL,2017
0,C,CONE,multi-stim-multi-response,1,nlepstei,1,2884,word,50,2017
0,P,SPIN,multi-stim-multi-response,2,nlepstei,1,4280,word,50,2017
0,S,KASM,multi-stim-multi-response,3,nlepstei,1,2297,nonword,50,2017
0,R,KARM,multi-stim-multi-response,4,nlepstei,1,3499,nonword,50,2017
0,O,EOMS,multi-stim-multi-response,5,nlepstei,0,3456,nonword,50,2017
0,A,EAMS,multi-stim-multi-response,6,nlepstei,0,2980,nonword,50,2017
0,C,CENO,multi-stim-multi-response,7,nlepstei,0,3461,nonword,50,2017
0,O,SOME,multi-stim-multi-response,8,nlepstei,1,3099,word,50,2017
0,L,LAKE,multi-stim-multi-response,9,nlepstei,1,2787,word,50,2017
0,R,BOAR,multi-stim-multi-response,10,nlepstei,1,2330,word,50,2017
0,S,MASK,multi-stim-multi-response,11,nlepstei,1,2716,word,50,2017
0,R,ABOR,multi-stim-multi-response,12,nlepstei,0,3112,nonword,50,2017
0,L,EAL,multi-stim-multi-response,13,nlepstei,1,2255,word,50,2017
0,G,GONE,multi-stim-multi-response,14,nlepstei,1,2422,word,50,2017
0,L,LKEA,multi-stim-multi-response,15,nlepstei,1,2057,nonword,50,2017
0,N,CTNA,multi-stim-multi-response,16,nlepstei,1,2492,nonword,50,2017
0,L,ERAL,multi-stim-multi-response,17,nlepstei,0,2034,nonword,50,2017
0,D,READ,multi-stim-multi-response,18,nlepstei,0,1836,word,50,2017
0,K,NKIS,multi-stim-multi-response,19,nlepstei,1,1974,nonword,50,2017
0,G,GENO,multi-stim-multi-response,20,nlepstei,0,2301,nonword,50,2017
0,T,BOAT,multi-stim-multi-response,21,nlepstei,0,12641,word,50,2017
0,N,CANT,multi-stim-multi-response,22,nlepstei,1,5174,word,50,2017
0,A,SAME,multi-stim-multi-response,23,nlepstei,1,3215,word,50,2017
0,T,TKEA,multi-stim-multi-response,24,nlepstei,0,5794,nonword,50,2017
0,R,CART,multi-stim-multi-response,25,nlepstei,0,3982,word,50,2017
0,P,NPIS,multi-stim-multi-response,26,nlepstei,1,2637,nonword,50,2017
0,R,MARK,multi-stim-multi-response,27,nlepstei,1,3475,word,50,2017
0,D,ERAD,multi-stim-multi-response,28,nlepstei,1,4831,nonword,50,2017
0,T,TAKE,multi-stim-multi-response,29,nlepstei,0,2900,word,50,2017
0,K,SKIN,multi-stim-multi-response,30,nlepstei,1,2113,word,50,2017
0,T,ABOT,multi-stim-multi-response,31,nlepstei,1,2425,nonword,50,2017
0,R,CTRA,multi-stim-multi-response,32,nlepstei,0,3672,nonword,50,2017
NULL,NULL,NULL,text,33,nlepstei,NULL,NULL,NULL,NULL,2017
1,R,CART,multi-stim-multi-response,34,nlepstei,1,3498,word,50,2017
1,T,BOAT,multi-stim-multi-response,35,nlepstei,1,2845,word,50,2017
1,T,TAKE,multi-stim-multi-response,36,nlepstei,0,4987,word,50,2017
1,T,ABOT,multi-stim-multi-response,37,nlepstei,0,2687,nonword,50,2017
